holding_cost,order_fixed,stockout_penalty,learning_rate,n_steps,n_epochs,vf_coef,ent_coef,batch_size,rl_avg_profit,rl_avg_stockouts,rl_avg_inventory,train_time_s
0.5,20.0,50.0,0.0001,1024,5,0.25,0.01,64,289.3306269369688,56.04426683002485,35.87735347199113,86.3858106136322
0.5,20.0,50.0,0.0001,1024,8,0.25,0.0,64,276.17305493714724,17.57940069914203,65.2406822350907,114.70244836807251
0.5,20.0,50.0,0.0001,1024,8,0.25,0.01,64,277.61364588315513,22.3596867418892,60.108930829191856,113.7881908416748
0.5,20.0,100.0,3e-05,512,5,0.25,0.0,64,264.41659320587735,0.0,88.96522242297866,86.39150667190552
0.5,20.0,100.0,3e-05,512,5,0.25,0.01,64,263.1344380926845,0.0,88.08186342840327,86.61548328399658
0.5,20.0,100.0,3e-05,512,8,0.25,0.0,64,267.9542405807299,0.0,80.73563093838627,104.50104713439941
0.5,20.0,100.0,3e-05,512,8,0.25,0.01,64,280.46887250791985,90.86258912957314,40.64977509119739,110.59453797340393
0.5,20.0,100.0,3e-05,2048,5,0.25,0.0,64,262.8491308652071,0.0,88.59999066287524,90.13837146759033
0.5,20.0,100.0,3e-05,2048,5,0.25,0.01,64,278.6700686440298,0.4330771909392254,58.91137950426912,92.65868401527405
0.5,20.0,100.0,3e-05,2048,8,0.25,0.0,64,268.69302779077253,0.0,85.95183348146205,116.43544006347656
0.5,20.0,100.0,3e-05,2048,8,0.25,0.01,64,260.6652081188721,0.0,93.49106311536816,116.43110394477844
0.5,20.0,100.0,3e-05,1024,5,0.25,0.0,64,273.2841868156969,0.0,71.6178737650832,87.6160192489624
0.5,20.0,100.0,3e-05,1024,5,0.25,0.01,64,261.56642216908574,0.0,93.05535457245291,92.19724416732788
0.5,20.0,100.0,3e-05,1024,8,0.25,0.0,64,244.21377960075318,0.0,124.51366112277933,115.64557576179504
0.5,20.0,100.0,3e-05,1024,8,0.25,0.01,64,265.82859200567026,0.0,83.2257963248475,119.01261901855469
0.5,20.0,100.0,0.0001,512,5,0.25,0.0,64,250.69087413886254,0.0,108.59452696081709,90.58585786819458
0.5,20.0,100.0,0.0001,512,5,0.25,0.01,64,272.6738933247364,0.0,71.02206300604834,89.26491451263428
0.5,20.0,100.0,0.0001,512,8,0.25,0.0,64,256.3615502801618,0.0,107.18933864227714,114.61681270599365
0.5,20.0,100.0,0.0001,512,8,0.25,0.01,64,258.74391507983694,0.0,99.7588371026026,117.07542014122009
0.5,20.0,100.0,0.0001,2048,5,0.25,0.0,64,278.92741537813646,0.0,57.9702586730539,95.57658576965332
0.5,20.0,100.0,0.0001,2048,5,0.25,0.01,64,269.865470642323,2.6483107905414984,77.12120010166952,92.02133107185364
0.5,20.0,100.0,0.0001,2048,8,0.25,0.0,64,272.5221399948108,0.0,66.5149178826319,117.80182313919067
0.5,20.0,100.0,0.0001,2048,8,0.25,0.01,64,269.4768165891705,3.9730992120376825,78.09124656781759,115.32302951812744
0.5,20.0,100.0,0.0001,1024,5,0.25,0.0,64,261.5920194460627,0.0,92.19085317324286,93.0590705871582
0.5,20.0,100.0,0.0001,1024,5,0.25,0.01,64,280.4742730829758,0.0,63.41463286935466,91.4825553894043
0.5,20.0,100.0,0.0001,1024,8,0.25,0.0,64,280.22194275785654,2.6851334245225162,60.051792017270444,119.71894407272339
0.5,20.0,100.0,0.0001,1024,8,0.25,0.01,64,266.9010406318421,0.0,80.04613477837549,117.66734504699707
0.5,20.0,200.0,3e-05,512,5,0.25,0.0,64,228.75052893718345,0.0,154.36323096706442,89.50456285476685
0.5,20.0,200.0,3e-05,512,5,0.25,0.01,64,256.5401537438028,0.0,101.40451922272982,87.52146100997925
0.5,20.0,200.0,3e-05,512,8,0.25,0.0,64,243.53897749578738,0.0,127.11095698526461,113.9577796459198
0.5,20.0,200.0,3e-05,512,8,0.25,0.01,64,256.6697780944561,0.0,102.00511916905234,125.69784641265869
0.5,20.0,200.0,3e-05,2048,5,0.25,0.0,64,248.0600559300273,0.0,116.42701208663314,90.75397992134094
0.5,20.0,200.0,3e-05,2048,5,0.25,0.01,64,252.98941688303157,0.0,105.47700460355574,91.71374249458313
0.5,20.0,200.0,3e-05,2048,8,0.25,0.0,64,274.723340183512,0.0,67.61787013955313,107.30454444885254
0.5,20.0,200.0,3e-05,2048,8,0.25,0.01,64,254.23245182108082,0.0,105.06665681185787,107.2580885887146
